id,level,display_name,llm_annotation
C71924100,0,Medicine,Medicine
C185592680,0,Chemistry,Chemistry
C41008148,0,Computer science,Computer science
C126322002,1,Internal medicine,Medicine
C192562407,0,Materials science,Materials science
C86803240,0,Biology,Biology
C121332964,0,Physics,Physics
C15744967,0,Psychology,Psychology
C39432304,0,Environmental science,Environmental science
C95444343,1,Cell biology,Biology
C17744445,0,Political science,Political science
C502942594,1,Cancer research,Medicine
C144133560,0,Business,Business
C42360764,1,Chemical engineering,Engineering
C143998085,1,Oncology,Medicine
C49040817,1,Optoelectronics,Engineering
C164705383,1,Cardiology,Medicine
C33923547,0,Mathematics,Mathematics
C154945302,1,Artificial intelligence,Computer science
C121608353,2,Cancer,Medicine
C134018914,1,Endocrinology,Medicine
C141071460,1,Surgery,Medicine
C205649164,0,Geography,Geography
C90924648,1,Gastroenterology,Medicine
C120665830,1,Optics,Physics
C126838900,1,Radiology,Medicine
C104317684,2,Gene,Biology
C2908647359,2,Population,Geography
C159985019,1,Composite material,Materials science
C127313418,0,Geology,Geology
C142362112,0,Art,Art
C55493867,1,Biochemistry,Biology
C26873012,1,Condensed matter physics,Physics
C98274493,1,Pharmacology,Medicine
C15708023,1,Humanities,Philosophy
C113196181,2,Analytical Chemistry (journal),Chemistry
C142724271,1,Pathology,Medicine
C153911025,1,Molecular biology,Biology
C144024400,0,Sociology,Sociology
C162324750,0,Economics,Economics
C203014093,1,Immunology,Medicine
C44870925,1,Astrophysics,Physics
C2779134260,2,Disease,Medicine
C155647269,1,Medicinal chemistry,Chemistry
C11413529,1,Algorithm,Computer science
C159047783,1,Virology,Biology
C57879066,1,Mechanics,Physics
C54355233,1,Genetics,Biology
C184779094,1,Atomic physics,Physics
C512399662,1,Family medicine,Medicine
C177713679,1,Intensive care medicine,Medicine
C12554922,1,Biophysics,Biology
C8010536,1,Crystallography,Physics
C70410870,1,Clinical psychology,Psychology
C169760540,1,Neuroscience,Biology
C42219234,1,Anesthesia,Medicine
C153180895,2,Pattern recognition (psychology),Psychology
C185544564,1,Nuclear physics,Physics
C161790260,2,Catalysis,Chemistry
C70721500,1,Computational biology,Computer science
C109214941,1,Particle physics,Physics
C171250308,1,Nanotechnology,Materials science
C2989005,1,Nuclear medicine,Medicine
C187212893,1,Pediatrics,Medicine
C18903297,1,Ecology,Environmental science
C2779473830,2,MEDLINE,Medicine
C71240020,1,Stereochemistry,Chemistry
C47446073,3,Control theory (sociology),Sociology
C31903555,1,Food science,Chemistry
C72563966,2,Cohort,Sociology
C8891405,2,Immune system,Biology
C89423630,1,Microbiology,Biology
C2776694085,2,Chemotherapy,Medicine
C31972630,1,Computer vision,Computer science
C520434653,2,Laser,Physics
C149923435,1,Demography,Sociology
C90856448,1,Zoology,Biology
C138885662,0,Philosophy,Philosophy
C1276947,1,Astronomy,Physics
C521977710,2,Polymer,Materials science
C21951064,1,Combinatorial chemistry,Chemistry
C1862650,1,Physical therapy,Medicine
C168563851,2,Randomized controlled trial,Medicine
C159654299,2,Antibody,Biology
C170493617,2,Receptor,Biology
C32909587,2,Molecule,Chemistry
C2522874641,2,Virus,Biology
C43617362,1,Chromatography,Chemistry
C179104552,1,Inorganic chemistry,Chemistry
C2776914184,2,Inflammation,Medicine
C155672457,2,Nanoparticle,Materials science
C107872376,1,Environmental chemistry,Chemistry
C509550671,1,Medical education,Medicine
C167135981,2,Retrospective cohort study,Medicine
C535046627,2,Clinical trial,Medicine
C555293320,2,Diabetes mellitus,Medicine
C207001950,2,In vivo,Medicine
C144027150,1,Horticulture,Biology
C160735492,2,Health care,Medicine
C118552586,1,Psychiatry,Medicine
C99454951,1,Environmental health,Environmental science
C178790620,1,Organic chemistry,Chemistry
C145148216,2,Ion,Chemistry
C61511704,2,Incidence (geometry),Mathematics
C2911091166,2,Transplantation,Medicine
C202751555,2,In vitro,Biology
C13965031,1,Nuclear chemistry,Chemistry
C1491633281,2,Cell,Biology
C127413603,0,Engineering,Engineering
C169900460,2,Cognition,Psychology
C62649853,1,Remote sensing,Geography
C156957248,2,Odds ratio,Mathematics
C194828623,1,Emergency medicine,Medicine
C19067145,2,Thin film,Materials science
C29456083,1,Gynecology,Medicine
C16005928,1,Dermatology,Medicine
C24890656,1,Acoustics,Physics
C24326235,1,Electronic engineering,Engineering
C84393581,2,Blood pressure,Medicine
C147483822,2,Antigen,Biology
C95457728,0,History,History
C82706917,2,Plasma,Physics
C44280652,2,Phase (matter),Physics
C4839761,2,Spectral line,Physics
C105702510,1,Anatomy,Biology
C27415008,2,Psychological intervention,Psychology
C2778198053,2,Heart failure,Medicine
C530470458,3,Breast cancer,Medicine
C126894567,1,Urology,Medicine
C138816342,2,Public health,Medicine
C28826006,1,Applied mathematics,Mathematics
C147120987,2,Electron,Physics
C190283241,2,Apoptosis,Biology
C511355011,2,Obesity,Medicine
C6557445,1,Agronomy,Biology
C131872663,1,Obstetrics,Medicine
C158622935,2,Nonlinear system,Mathematics
C501734568,3,Mutation,Biology
C2777714996,2,Lung,Medicine
C44249647,2,Confidence interval,Mathematics
C119857082,1,Machine learning,Computer science
C75473681,1,Photochemistry,Chemistry
C2779234561,2,Pregnancy,Medicine
C181199279,2,Enzyme,Biology
C188027245,1,Polymer chemistry,Chemistry
C91586092,1,Atmospheric sciences,Environmental science
C186370098,2,Energy (signal processing),Engineering
C41999313,1,Molecular physics,Physics
C150194340,3,Gene expression,Biology
C31258907,1,Computer network,Computer science
C98444146,2,Galaxy,Physics
C74909509,1,Gerontology,Medicine
C59822182,1,Botany,Biology
C163258240,2,Power (physics),Physics
C115260700,2,Magnetic field,Physics
C202444582,1,Pure mathematics,Mathematics
C134306372,1,Mathematical analysis,Mathematics
C136229726,1,Biomedical engineering,Engineering
C61434518,1,General surgery,Medicine
C28328180,2,Stem cell,Biology
C2776867660,2,Depression (economics),Economics
C81885089,2,Cell culture,Biology
C544153396,2,Metal,Materials science
C180747234,1,Cognitive psychology,Psychology
C107130276,2,Epidemiology,Medicine
C141231307,3,Genome,Biology
C191897082,1,Metallurgy,Engineering
C99508421,1,Physical medicine and rehabilitation,Medicine
C3008058167,4,Coronavirus disease 2019 (COVID-19),Medicine
