display_name,gpt-4o,claude-3-5-sonnet-20241022,grok-2-1212,gemini-2.0-flash-exp,llama-3.1-nemotron-70b-instruct,majority_vote,confidence,in_model
Public economics,6,6,6,6,6,6,1.0,True
Brooks–Iyengar algorithm,5,5,5,5,5,5,1.0,True
Expression cassette,2,2,2,2,2,2,1.0,True
Dual norm,13,13,13,13,13,13,1.0,True
Hygrometer,8,8,8,16,16,8,0.6,True
Monomorphism,13,13,13,13,5,13,0.8,True
Reduced ring,13,13,13,13,13,13,1.0,True
Siemens,3,7,7,7,7,7,0.8,True
Hemolymph,2,2,2,2,2,2,1.0,True
Piezoelectricity,16,16,16,16,16,16,1.0,True
Low-energy electron diffraction,16,16,16,16,16,16,1.0,True
Wind tunnel,7,7,7,7,7,7,1.0,True
Lebesgue's number lemma,13,13,13,13,13,13,1.0,True
Cilium,2,2,2,2,2,2,1.0,True
Perfect group,13,13,13,13,13,13,1.0,True
Bistatic radar,7,7,7,7,7,7,1.0,True
Protein sequencing,2,2,2,2,2,2,1.0,True
2D Filters,5,5,5,5,5,5,1.0,True
Hopcroft–Karp algorithm,5,5,5,5,5,5,1.0,True
Environmental Sustainability Index,8,8,8,8,8,8,1.0,True
Radiocarbon dating,10,10,4,16,10,10,0.6,True
Coma (optics),16,16,16,16,16,16,1.0,True
Selective auditory attention,18,18,18,18,18,18,1.0,True
Persuasive technology,5,5,5,5,5,5,1.0,True
Vacuum packing,7,7,7,7,7,7,1.0,True
Dynamic web page,5,5,5,5,5,5,1.0,True
IκB kinase,2,2,2,2,2,2,1.0,True
Coordinate time,16,16,16,16,16,16,1.0,True
Subsurface flow,10,8,10,8,10,10,0.6,True
Bioenergetics,2,2,2,2,2,2,1.0,True
Commissure,2,2,2,14,14,2,0.6,True
Remedial education,19,19,18,19,18,19,0.6,True
Stone's representation theorem for Boolean algebras,13,13,13,13,13,13,1.0,True
Projective linear group,13,13,13,13,13,13,1.0,True
Welfare,6,19,19,17,17,19,0.4,True
Systematic error,16,13,13,16,16,16,0.6,True
Subacromial bursa,14,14,14,14,14,14,1.0,True
Levelling,9,8,9,7,7,9,0.4,True
Economic nationalism,6,17,6,6,6,6,0.8,True
Arithmetic logic unit,5,5,5,5,5,5,1.0,True
Sample space,13,13,13,13,13,13,1.0,True
Perplexity,5,5,5,5,5,5,1.0,True
Hildebrand solubility parameter,4,4,4,4,4,4,1.0,True
Small nuclear RNA,2,2,2,2,2,2,1.0,True
Reciprocal cross,2,2,2,2,2,2,1.0,True
Usability engineering,5,5,7,7,7,7,0.6,True
Ćuk converter,7,7,7,7,7,7,1.0,True
Bulletin board system,5,5,5,5,5,5,1.0,True
Collective behavior,19,19,19,19,19,19,1.0,True
Active noise control,7,7,7,7,7,7,1.0,True
Literary theory,15,15,15,15,15,15,1.0,True
Nonprobability sampling,3,19,19,19,18,19,0.6,True
Crawling,5,5,5,5,14,5,0.8,True
Bézier surface,5,13,5,13,5,5,0.6,True
Jordan algebra,13,13,13,13,13,13,1.0,True
Teleological argument,15,15,15,15,15,15,1.0,True
Chinook wind,9,9,9,9,8,9,0.8,True
Clathrate hydrate,4,4,4,4,4,4,1.0,True
Emissions trading,6,6,6,6,6,6,1.0,True
Formulary,14,14,14,14,14,14,1.0,True
Forensic entomology,2,2,2,2,2,2,1.0,True
Scintillometer,16,16,16,16,16,16,1.0,True
Magnetic shape-memory alloy,12,12,12,12,12,12,1.0,True
Etching (microfabrication),12,7,7,7,7,7,0.8,True
Pythagorean theorem,13,13,13,13,13,13,1.0,True
Data model (GIS),5,5,9,5,9,5,0.6,True
Sylvester equation,13,13,13,13,13,13,1.0,True
Soil physics,8,16,10,16,16,16,0.6,True
Approval voting,17,17,17,17,17,17,1.0,True
Treatment and control groups,14,18,14,14,14,14,0.8,True
First-order logic,13,13,13,13,13,13,1.0,True
Hash-based message authentication code,5,5,5,5,5,5,1.0,True
Latin American literature,1,1,1,1,11,1,0.8,True
Solarisation,1,1,1,1,16,1,0.8,True
Cubic graph,13,13,13,13,13,13,1.0,True
Primary education,19,19,19,19,11,19,0.8,True
Judicial opinion,17,17,17,17,17,17,1.0,True
Filter bank,7,7,7,7,5,7,0.8,True
Fuzzy measure theory,13,13,13,13,13,13,1.0,True
Competence (human resources),3,3,3,3,3,3,1.0,True
Metronome,1,1,16,7,16,1,0.4,True
X-ray laser,16,16,16,16,16,16,1.0,True
Boreal,8,9,9,9,9,9,0.8,True
Fermentation,2,2,2,2,4,2,0.8,True
Panoramic radiograph,14,14,14,14,14,14,1.0,True
K-ary tree,5,5,5,5,5,5,1.0,True
Thermoregulation,2,2,2,2,2,2,1.0,True
Separation of duties,3,3,3,3,3,3,1.0,True
Histone code,2,2,2,2,2,2,1.0,True
Recognition sequence,2,2,2,2,2,2,1.0,True
Graph kernel,5,5,5,5,5,5,1.0,True
Christian humanism,15,15,15,15,15,15,1.0,True
Embodied cognition,18,18,18,18,18,18,1.0,True
Reflective listening,18,18,18,18,18,18,1.0,True
Posttranslational modification,2,2,2,2,2,2,1.0,True
Power set,13,13,13,13,13,13,1.0,True
H-reflex,14,14,14,14,14,14,1.0,True
Recall,18,18,18,18,18,18,1.0,True
Motion system,7,7,7,7,7,7,1.0,True
Background noise,16,16,16,7,16,16,0.8,True
Cocrystal,4,12,4,4,4,4,0.8,True
Kindling,14,14,14,8,8,14,0.6,True
Philosophy of design,15,15,15,15,15,15,1.0,True
Laplacian smoothing,5,5,5,13,5,5,0.8,True
Germination,2,2,2,2,2,2,1.0,True
Empirical legal studies,17,19,17,19,17,17,0.6,True
Carbon-13 NMR satellite,4,4,4,4,4,4,1.0,True
Factor cost,6,6,6,6,6,6,1.0,True
Net profit,3,3,3,3,3,3,1.0,True
Pressure-gradient force,16,16,16,16,16,16,1.0,True
Amorphous metal transformer,12,7,12,7,7,7,0.6,True
Hydrometeorology,8,8,8,8,8,8,1.0,True
Sociology of the Internet,19,19,19,19,19,19,1.0,True
Strategic human resource planning,3,3,3,3,3,3,1.0,True
Polymer electrolyte membrane electrolysis,7,7,7,7,7,7,1.0,True
Eukaryotic transcription,2,2,2,2,2,2,1.0,True
Personal consumption expenditures price index,6,6,6,6,6,6,1.0,True
Blazar,16,16,16,16,16,16,1.0,True
False vacuum,16,16,16,16,16,16,1.0,True
Exit strategy,3,3,3,3,3,3,1.0,True
Test vector,5,5,5,5,5,5,1.0,True
Radiation properties,16,16,16,16,16,16,1.0,True
PKD1,14,2,14,14,14,14,0.8,True
Bridge (graph theory),13,13,13,13,13,13,1.0,True
Charge trap flash,12,7,7,7,5,7,0.6,True
Eccentric,18,18,18,18,18,18,1.0,True
Cord lining,14,14,14,14,14,14,1.0,True
Charge transfer coefficient,4,4,16,4,4,4,0.8,True
Phagemid,2,2,2,2,2,2,1.0,True
Beam parameter product,16,16,16,16,16,16,1.0,True
Fear processing in the brain,18,2,18,18,18,18,0.8,True
Memory controller,5,5,5,5,5,5,1.0,True
Hydroformylation,4,4,4,4,4,4,1.0,True
Blowing agent,4,12,4,12,4,4,0.6,True
Set cover problem,13,5,13,5,5,5,0.6,True
Polysaccharide,2,2,4,4,4,4,0.6,True
Glacier,10,10,10,10,10,10,1.0,True
Caryopsis,2,2,2,2,2,2,1.0,True
Voltage clamp,16,7,14,2,16,16,0.4,True
Anabolism,2,2,2,2,2,2,1.0,True
Isotopes of thorium,4,16,16,16,4,16,0.6,True
Telecommunications Management Network,7,5,7,7,7,7,0.8,True
Clifford algebra,13,13,13,13,13,13,1.0,True
Wind stress,8,8,8,16,8,8,0.8,True
Certified reference materials,4,4,4,4,12,4,0.8,True
Hill differential equation,13,13,13,13,13,13,1.0,True
Hardy–Weinberg principle,2,2,2,2,2,2,1.0,True
Intracluster medium,16,16,16,16,16,16,1.0,True
Cellular algebra,13,13,13,13,13,13,1.0,True
Social cue,18,18,19,18,18,18,0.8,True
Compressed suffix array,5,5,5,5,5,5,1.0,True
Planetary system,16,16,16,16,16,16,1.0,True
Poisson distribution,13,13,13,13,13,13,1.0,True
Core self-evaluations,18,18,18,18,18,18,1.0,True
Spatial frequency,16,16,16,16,16,16,1.0,True
Euchromatin,2,2,2,2,2,2,1.0,True
Codes for electromagnetic scattering by cylinders,16,16,16,7,16,16,0.8,True
Hydrostatic stress,12,12,16,16,7,12,0.4,True
Tectonic subsidence,10,10,10,10,10,10,1.0,True
Green wood,12,12,12,12,12,12,1.0,True
Physical geography,9,9,9,9,9,9,1.0,True
Ectodomain,2,2,2,2,2,2,1.0,True
AP endonuclease,2,2,2,2,2,2,1.0,True
Malleability,12,12,12,12,12,12,1.0,True
Cinematography,1,1,1,1,1,1,1.0,True
Spherically symmetric spacetime,16,16,16,16,16,16,1.0,True
Software bug,5,5,5,5,5,5,1.0,True
Canopy,2,2,2,2,8,2,0.8,True
Microbial metabolism,2,2,2,2,2,2,1.0,True
Bioelectrochemistry,4,2,4,4,4,4,0.8,True
Active management,3,3,3,6,3,3,0.8,True
GABAB receptor,2,2,2,2,2,2,1.0,True
Matrix polynomial,13,13,13,13,13,13,1.0,True
Constitutional monarchy,17,17,17,17,17,17,1.0,True
AMOLED,12,7,12,12,7,12,0.6,True
Gravitational-wave astronomy,16,16,16,16,16,16,1.0,True
Glymphatic system,14,14,14,14,2,14,0.8,True
Experimental psychology,18,18,18,18,18,18,1.0,True
Fluid-attenuated inversion recovery,14,14,14,14,14,14,1.0,True
Two-photon absorption,16,16,16,16,16,16,1.0,True
Acid-fast,2,2,14,14,2,2,0.6,True
Simple shear,16,7,16,16,7,16,0.6,True
Repetition priming,18,18,18,18,18,18,1.0,True
MALDI imaging,4,4,14,4,4,4,0.8,True
Radio frequency power transmission,7,7,7,7,7,7,1.0,True
Counterintuitive,15,15,15,15,15,15,1.0,True
Heteroscedasticity,6,13,6,13,13,13,0.6,True
Bayesian statistics,13,13,13,13,13,13,1.0,True
Schist,10,10,10,10,10,10,1.0,True
Cosmogenic nuclide,10,16,16,10,10,10,0.6,True
Interdependent networks,5,5,5,5,5,5,1.0,True
Displacement current,16,16,16,16,16,16,1.0,True
Histone H1,2,2,2,2,2,2,1.0,True
Decay scheme,16,16,16,16,16,16,1.0,True
Equity premium puzzle,6,6,6,6,6,6,1.0,True
LGR5,2,2,2,14,2,2,0.8,True
Retrenchment,3,3,6,6,3,3,0.6,True
IIf,5,5,5,5,5,5,1.0,True
Psychodrama,18,18,18,18,18,18,1.0,True
Pseudovector,13,16,16,16,16,16,0.8,True
Ubiquitous robot,5,5,7,7,5,5,0.6,True
History of Asian Americans,11,11,11,11,11,11,1.0,True
Religious conversion,19,19,19,19,19,19,1.0,True
Chemical warfare,4,4,4,17,4,4,0.8,True
Imperialist competitive algorithm,5,5,5,5,5,5,1.0,True
Saddle-node bifurcation,13,13,13,13,13,13,1.0,True
Web Ontology Language,5,5,5,5,5,5,1.0,True
Outgassing,10,12,4,12,12,12,0.6,True
Shares outstanding,3,3,3,3,3,3,1.0,True
Raptor code,5,5,5,5,5,5,1.0,True
General Dirichlet series,13,13,13,13,13,13,1.0,True
Case series,14,14,14,14,14,14,1.0,True
Rasch model,13,18,18,18,18,18,0.8,True
LED lamp,7,7,7,7,7,7,1.0,True
Customer retention,3,3,3,3,3,3,1.0,True
User-generated content,5,5,5,5,5,5,1.0,True
Exoenzyme,2,2,2,2,2,2,1.0,True
Centripetal force,16,16,16,16,16,16,1.0,True
Numerical solution of the convection–diffusion equation,13,13,13,13,13,13,1.0,True
Software maintenance,5,5,5,5,5,5,1.0,True
Diffraction topography,16,16,16,16,16,16,1.0,True
Poloxamer,4,4,4,4,4,4,1.0,True
Informative advertising,3,3,3,3,3,3,1.0,True
Optical switch,7,7,7,7,7,7,1.0,True
Baskakov operator,13,13,13,13,13,13,1.0,True
Radial stress,7,7,16,16,7,7,0.6,True
Sociological imagination,19,19,19,19,19,19,1.0,True
Dissipative operator,13,13,13,13,13,13,1.0,True
Ferroresonance in electricity networks,7,7,7,7,7,7,1.0,True
Finance,3,3,6,3,3,3,0.8,True
Crack growth resistance curve,12,12,12,12,12,12,1.0,True
Default-free zone,6,5,5,6,6,6,0.6,True
Lyapunov optimization,13,13,13,13,13,13,1.0,True
Cardiac transient outward potassium current,14,14,14,14,14,14,1.0,True
Sociological criticism,19,19,19,19,19,19,1.0,True
Osseointegration,14,14,14,14,14,14,1.0,True
Tn10,2,2,2,2,2,2,1.0,True
Maturity (psychological),18,18,18,18,18,18,1.0,True
Genetic recombination,2,2,2,2,2,2,1.0,True
